Generation,Score,Fitness,Best Score,Best Fitness
251,1,46.62,7,342.0
252,1,40.88,4,166.0
253,1,36.93,4,243.0
254,1,41.92,6,304.0
255,1,40.78,6,281.0
256,1,37.83,4,190.0
257,1,36.92,5,224.0
258,1,41.72,4,238.0
259,1,50.82,6,359.0
260,1,46.99,4,245.0
261,1,39.43,4,186.0
262,1,41.32,5,301.0
263,1,44.98,4,182.0
264,1,42.55,5,222.0
265,1,38.31,5,323.0
266,1,42.78,6,279.0
267,1,41.67,4,176.0
268,1,46.5,5,251.0
269,1,48.48,9,467.0
270,1,44.11,5,218.0
271,1,52.59,6,274.0
272,1,55.72,7,337.0
273,1,42.15,4,176.0
274,1,45.83,6,305.0
275,1,37.37,4,179.0
276,1,46.36,4,231.0
277,1,40.85,4,170.0
278,1,44.28,8,388.0
279,1,42.24,5,244.0
280,1,53.8,7,335.0
281,1,46.28,7,358.0
282,1,51.4,8,436.0
283,1,69.8,14,792.0
284,1,44.8,5,303.0
285,1,40.38,6,308.0
286,1,50.32,5,300.0
287,1,66.06,8,384.0
288,1,52.32,6,284.0
289,1,59.69,9,555.0
290,1,65.34,18,1004.0
291,1,52.71,7,352.0
292,1,59.05,9,459.0
293,1,74.23,16,972.0
294,1,55.07,11,580.0
295,2,81.88,9,490.0
296,1,63.91,9,466.0
297,1,71.93,8,415.0
298,1,70.24,9,538.0
299,1,65.81,10,519.0
300,1,69.17,8,411.0
301,1,60.05,6,297.0
302,1,70.01,7,402.0
303,2,82.8,10,539.0
304,1,61.67,10,606.0
305,1,53.65,7,409.0
306,1,63.62,7,402.0
307,1,55.25,7,356.0
308,1,59.0,6,289.0
309,1,70.15,6,355.0
310,1,62.38,8,412.0
311,1,64.68,4,235.0
312,1,62.2,7,337.0
313,1,64.42,9,492.0
314,2,74.5,12,629.0
315,2,79.3,12,649.0
316,1,62.88,9,465.0
317,2,79.05,8,425.0
318,1,63.02,11,661.0
319,1,71.79,13,798.0
320,2,74.11,12,650.0
321,1,56.38,9,478.0
322,1,67.57,7,423.0
323,1,64.94,5,305.0
324,2,86.04,11,675.0
325,1,70.2,5,315.0
326,1,70.62,9,526.0
327,2,88.94,16,952.0
328,1,63.1,7,347.0
329,2,79.41,9,475.0
330,1,72.0,10,607.0
331,1,62.15,10,552.0
